config,top_k,intro_chunks,context_window,max_context_chunks,questions,avg_context_chunks,avg_context_words,avg_unique_documents,first_chunk_gold_rate,context_hit_rate,gold_chunk_share,avg_non_gold_chunks,required_term_coverage,avg_retrieval_ms,selection_score
top_k=3; intro=0; window=0; max=6,3,0,0,6,20,3.0,344.05,2.0,0.65,0.95,0.566667,1.3,1.0,294.743,0.758766
top_k=3; intro=0; window=0; max=8,3,0,0,8,20,3.0,344.05,2.0,0.65,0.95,0.566667,1.3,1.0,294.743,0.758766
top_k=3; intro=0; window=0; max=10,3,0,0,10,20,3.0,344.05,2.0,0.65,0.95,0.566667,1.3,1.0,294.743,0.758766
top_k=3; intro=0; window=0; max=12,3,0,0,12,20,3.0,344.05,2.0,0.65,0.95,0.566667,1.3,1.0,294.743,0.758766
top_k=3; intro=0; window=0; max=16,3,0,0,16,20,3.0,344.05,2.0,0.65,0.95,0.566667,1.3,1.0,294.743,0.758766
top_k=5; intro=2; window=1; max=6,5,2,1,6,20,6.0,697.8,1.75,0.65,0.9,0.591667,2.45,1.0,294.743,0.73987
top_k=5; intro=0; window=0; max=6,5,0,0,6,20,5.0,572.2,2.85,0.65,0.95,0.52,2.4,1.0,294.743,0.738963
top_k=5; intro=0; window=0; max=8,5,0,0,8,20,5.0,572.2,2.85,0.65,0.95,0.52,2.4,1.0,294.743,0.738963
top_k=5; intro=0; window=0; max=10,5,0,0,10,20,5.0,572.2,2.85,0.65,0.95,0.52,2.4,1.0,294.743,0.738963
top_k=5; intro=0; window=0; max=12,5,0,0,12,20,5.0,572.2,2.85,0.65,0.95,0.52,2.4,1.0,294.743,0.738963
top_k=5; intro=0; window=0; max=16,5,0,0,16,20,5.0,572.2,2.85,0.65,0.95,0.52,2.4,1.0,294.743,0.738963
top_k=3; intro=2; window=1; max=6,3,2,1,6,20,6.0,697.8,1.9,0.65,0.9,0.575,2.55,1.0,294.743,0.73487
top_k=5; intro=1; window=1; max=6,5,1,1,6,20,6.0,697.8,1.85,0.65,0.9,0.575,2.55,1.0,294.743,0.73487
top_k=5; intro=0; window=1; max=6,5,0,1,6,20,6.0,687.85,1.9,0.65,0.9,0.558333,2.65,1.0,294.743,0.730036
top_k=3; intro=1; window=0; max=6,3,1,0,6,20,6.0,692.2,2.65,0.65,0.95,0.5,3.0,1.0,294.743,0.729963
top_k=3; intro=1; window=1; max=6,3,1,1,6,20,6.0,697.8,2.0,0.65,0.9,0.558333,2.65,1.0,294.743,0.72987
top_k=3; intro=0; window=2; max=6,3,0,2,6,20,6.0,687.95,1.7,0.65,0.85,0.608333,2.35,1.0,294.743,0.727534
top_k=5; intro=0; window=2; max=6,5,0,2,6,20,6.0,687.95,1.7,0.65,0.85,0.608333,2.35,1.0,294.743,0.727534
top_k=5; intro=1; window=0; max=6,5,1,0,6,20,6.0,692.2,2.55,0.65,0.95,0.491667,3.05,1.0,294.743,0.727463
top_k=3; intro=0; window=1; max=6,3,0,1,6,20,6.0,687.85,2.05,0.65,0.9,0.541667,2.75,1.0,294.743,0.725036
top_k=5; intro=0; window=1; max=8,5,0,1,8,20,8.0,910.4,2.5,0.65,0.95,0.5,4.0,1.0,294.743,0.724327
top_k=7; intro=0; window=1; max=8,7,0,1,8,20,8.0,910.4,2.45,0.65,0.95,0.5,4.0,1.0,294.743,0.724327
top_k=5; intro=2; window=2; max=8,5,2,2,8,20,8.0,917.9,2.0,0.65,0.9,0.55625,3.55,1.0,294.743,0.723577
top_k=7; intro=2; window=2; max=8,7,2,2,8,20,8.0,917.9,1.95,0.65,0.9,0.55625,3.55,1.0,294.743,0.723577
top_k=3; intro=2; window=2; max=8,3,2,2,8,20,8.0,917.45,2.25,0.65,0.9,0.55,3.6,1.0,294.743,0.721709
top_k=3; intro=0; window=1; max=8,3,0,1,8,20,8.0,915.8,2.9,0.65,0.95,0.4875,4.1,1.0,294.743,0.720487
top_k=3; intro=2; window=0; max=6,3,2,0,6,20,6.0,696.25,2.25,0.65,0.9,0.525,2.85,1.0,294.743,0.719896
top_k=5; intro=1; window=2; max=8,5,1,2,8,20,8.0,917.9,2.05,0.65,0.9,0.54375,3.65,1.0,294.743,0.719827
top_k=7; intro=1; window=2; max=8,7,1,2,8,20,8.0,917.9,2.0,0.65,0.9,0.54375,3.65,1.0,294.743,0.719827
top_k=3; intro=1; window=2; max=8,3,1,2,8,20,8.0,917.45,2.3,0.65,0.9,0.5375,3.7,1.0,294.743,0.717959
top_k=5; intro=5; window=1; max=6,5,5,1,6,20,6.0,693.95,1.5,0.65,0.8,0.633333,2.2,1.0,294.743,0.717434
top_k=5; intro=0; window=2; max=8,5,0,2,8,20,8.0,916.6,2.05,0.65,0.9,0.53125,3.75,1.0,294.743,0.716098
top_k=7; intro=0; window=2; max=8,7,0,2,8,20,8.0,916.6,2.0,0.65,0.9,0.53125,3.75,1.0,294.743,0.716098
top_k=5; intro=3; window=1; max=8,5,3,1,8,20,8.0,932.3,2.15,0.65,0.9,0.53125,3.75,1.0,294.743,0.715837
top_k=7; intro=3; window=1; max=8,7,3,1,8,20,8.0,932.3,2.1,0.65,0.9,0.53125,3.75,1.0,294.743,0.715837
top_k=7; intro=0; window=2; max=10,7,0,2,10,20,10.0,1137.7,2.45,0.65,0.95,0.49,5.1,1.0,294.743,0.715538
top_k=10; intro=0; window=2; max=10,10,0,2,10,20,10.0,1137.7,2.45,0.65,0.95,0.49,5.1,1.0,294.743,0.715538
top_k=3; intro=5; window=1; max=6,3,5,1,6,20,6.0,693.95,1.55,0.65,0.8,0.625,2.25,1.0,294.743,0.714934
top_k=5; intro=2; window=0; max=6,5,2,0,6,20,6.0,696.25,2.15,0.65,0.9,0.508333,2.95,1.0,294.743,0.714896
top_k=3; intro=2; window=0; max=8,3,2,0,8,20,8.0,930.15,3.15,0.65,0.95,0.46875,4.25,1.0,294.743,0.714622
top_k=3; intro=0; window=2; max=8,3,0,2,8,20,8.0,916.15,2.3,0.65,0.9,0.525,3.8,1.0,294.743,0.714231
top_k=5; intro=0; window=2; max=10,5,0,2,10,20,10.0,1141.65,2.55,0.65,0.95,0.485,5.15,1.0,294.743,0.713973
top_k=3; intro=3; window=1; max=8,3,3,1,8,20,8.0,931.85,2.5,0.65,0.9,0.525,3.8,1.0,294.743,0.713969
top_k=3; intro=0; window=2; max=10,3,0,2,10,20,10.0,1143.25,3.05,0.65,0.95,0.48,5.2,1.0,294.743,0.712446
top_k=5; intro=2; window=1; max=8,5,2,1,8,20,8.0,931.8,2.15,0.65,0.9,0.51875,3.85,1.0,294.743,0.712095
top_k=7; intro=2; window=1; max=8,7,2,1,8,20,8.0,931.8,2.1,0.65,0.9,0.51875,3.85,1.0,294.743,0.712095
top_k=7; intro=0; window=0; max=8,7,0,0,8,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=7; intro=0; window=0; max=10,7,0,0,10,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=7; intro=0; window=0; max=12,7,0,0,12,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=7; intro=0; window=0; max=16,7,0,0,16,20,7.0,809.05,3.8,0.65,0.95,0.45,3.85,1.0,294.743,0.712016
top_k=3; intro=1; window=0; max=8,3,1,0,8,20,8.0,920.9,3.65,0.65,0.95,0.45625,4.35,1.0,294.743,0.711027
top_k=5; intro=2; window=0; max=8,5,2,0,8,20,8.0,930.6,2.75,0.65,0.95,0.45625,4.35,1.0,294.743,0.710865
top_k=7; intro=2; window=0; max=8,7,2,0,8,20,8.0,930.6,2.75,0.65,0.95,0.45625,4.35,1.0,294.743,0.710865
top_k=5; intro=1; window=1; max=8,5,1,1,8,20,8.0,917.4,2.2,0.65,0.9,0.5125,3.9,1.0,294.743,0.71046
top_k=7; intro=1; window=1; max=8,7,1,1,8,20,8.0,917.4,2.15,0.65,0.9,0.5125,3.9,1.0,294.743,0.71046
top_k=3; intro=2; window=1; max=8,3,2,1,8,20,8.0,931.35,2.5,0.65,0.9,0.5125,3.9,1.0,294.743,0.710227
top_k=3; intro=3; window=0; max=6,3,3,0,6,20,6.0,705.6,2.05,0.65,0.85,0.55,2.7,1.0,294.743,0.70974
top_k=3; intro=1; window=1; max=8,3,1,1,8,20,8.0,922.7,2.55,0.65,0.9,0.50625,3.95,1.0,294.743,0.708497
top_k=7; intro=1; window=1; max=10,7,1,1,10,20,10.0,1149.4,2.7,0.65,0.95,0.465,5.35,1.0,294.743,0.707843
top_k=10; intro=1; window=1; max=10,10,1,1,10,20,10.0,1149.4,2.7,0.65,0.95,0.465,5.35,1.0,294.743,0.707843
top_k=3; intro=5; window=0; max=6,3,5,0,6,20,6.0,693.95,1.7,0.65,0.8,0.6,2.4,1.0,294.743,0.707434
top_k=5; intro=5; window=0; max=6,5,5,0,6,20,6.0,693.95,1.7,0.65,0.8,0.6,2.4,1.0,294.743,0.707434
top_k=5; intro=3; window=1; max=6,5,3,1,6,20,6.0,697.8,1.5,0.65,0.8,0.6,2.4,1.0,294.743,0.70737
top_k=5; intro=3; window=0; max=6,5,3,0,6,20,6.0,705.6,1.95,0.65,0.85,0.541667,2.75,1.0,294.743,0.70724
top_k=7; intro=0; window=1; max=10,7,0,1,10,20,10.0,1145.55,2.95,0.65,0.95,0.46,5.4,1.0,294.743,0.706407
top_k=10; intro=0; window=1; max=10,10,0,1,10,20,10.0,1145.55,2.95,0.65,0.95,0.46,5.4,1.0,294.743,0.706407
top_k=3; intro=3; window=0; max=8,3,3,0,8,20,8.0,935.8,2.65,0.65,0.9,0.5,4.0,1.0,294.743,0.706403
top_k=5; intro=1; window=1; max=10,5,1,1,10,20,10.0,1153.35,2.8,0.65,0.95,0.46,5.4,1.0,294.743,0.706277
