timestamp,gpu_util_pct,memory_used_mib,memory_total_mib,power_w,temperature_c
2026/07/12 17:50:08.676,100,11963,15360,41.90,79
2026/07/12 17:50:08.925,82,11963,15360,67.55,79
2026/07/12 17:50:09.170,100,11963,15360,65.22,79
2026/07/12 17:50:09.414,100,11963,15360,66.96,79
2026/07/12 17:50:09.663,100,11963,15360,63.40,80
2026/07/12 17:50:09.912,100,11963,15360,66.96,80
2026/07/12 17:50:10.164,100,11963,15360,66.51,80
2026/07/12 17:50:10.413,100,11963,15360,66.16,80
2026/07/12 17:50:10.660,100,11963,15360,63.20,80
2026/07/12 17:50:10.915,100,11963,15360,69.91,80
2026/07/12 17:50:11.160,100,11963,15360,61.44,80
2026/07/12 17:50:11.408,100,11963,15360,68.00,80
2026/07/12 17:50:11.655,100,11963,15360,62.65,80
2026/07/12 17:50:11.903,100,11963,15360,70.51,80
2026/07/12 17:50:12.153,100,11963,15360,68.77,80
2026/07/12 17:50:12.403,100,11963,15360,69.06,80
2026/07/12 17:50:12.655,100,11963,15360,67.62,80
2026/07/12 17:50:12.901,100,11963,15360,63.59,80
2026/07/12 17:50:13.148,100,11963,15360,61.87,80
2026/07/12 17:50:13.396,100,11963,15360,61.28,80
2026/07/12 17:50:13.644,100,11963,15360,63.12,81
2026/07/12 17:50:13.886,97,11963,15360,61.92,81
2026/07/12 17:50:14.135,100,11963,15360,60.12,81
2026/07/12 17:50:14.380,100,11963,15360,65.46,81
2026/07/12 17:50:14.633,100,11963,15360,70.06,81
2026/07/12 17:50:14.887,100,11963,15360,62.77,81
2026/07/12 17:50:15.134,100,11963,15360,67.94,81
2026/07/12 17:50:15.379,100,11963,15360,69.71,81
2026/07/12 17:50:15.626,100,11963,15360,61.74,81
2026/07/12 17:50:15.878,100,11963,15360,66.36,81
2026/07/12 17:50:16.124,100,11963,15360,67.51,81
2026/07/12 17:50:16.369,100,11963,15360,64.69,81
2026/07/12 17:50:16.618,100,11963,15360,65.22,81
2026/07/12 17:50:16.868,100,11963,15360,62.36,81
2026/07/12 17:50:17.116,100,11963,15360,68.96,81
2026/07/12 17:50:17.385,100,11963,15360,68.71,81
2026/07/12 17:50:17.636,100,11963,15360,66.67,81
2026/07/12 17:50:17.889,100,11963,15360,63.71,81
2026/07/12 17:50:18.135,100,11963,15360,63.48,81
2026/07/12 17:50:18.389,97,11963,15360,66.77,82
2026/07/12 17:50:18.635,100,11963,15360,66.16,81
2026/07/12 17:50:18.878,100,11963,15360,66.47,81
2026/07/12 17:50:19.127,100,11963,15360,66.16,81
2026/07/12 17:50:19.373,100,11963,15360,67.21,81
2026/07/12 17:50:19.624,100,11963,15360,61.05,81
2026/07/12 17:50:19.874,100,11963,15360,68.86,82
2026/07/12 17:50:20.121,100,11963,15360,63.56,82
2026/07/12 17:50:20.369,100,11963,15360,62.95,81
2026/07/12 17:50:20.627,100,11963,15360,67.21,82
2026/07/12 17:50:20.874,100,11963,15360,66.28,81
2026/07/12 17:50:21.121,100,11963,15360,63.53,82
2026/07/12 17:50:21.373,100,11963,15360,66.36,81
2026/07/12 17:50:21.623,100,11963,15360,65.69,82
2026/07/12 17:50:21.872,100,11963,15360,69.90,81
2026/07/12 17:50:22.126,100,11963,15360,62.38,81
2026/07/12 17:50:22.377,100,11963,15360,66.42,81
2026/07/12 17:50:22.630,100,11963,15360,66.87,81
2026/07/12 17:50:22.877,100,11963,15360,66.69,81
2026/07/12 17:50:23.125,100,11963,15360,67.56,81
2026/07/12 17:50:23.378,97,11963,15360,68.92,81
2026/07/12 17:50:23.621,100,11963,15360,65.93,81
2026/07/12 17:50:23.864,100,11963,15360,63.05,81
2026/07/12 17:50:24.112,100,11963,15360,62.40,81
2026/07/12 17:50:24.360,100,11963,15360,66.50,81
2026/07/12 17:50:24.609,100,11963,15360,64.32,81
2026/07/12 17:50:24.860,100,11963,15360,70.62,81
2026/07/12 17:50:25.108,100,11963,15360,67.41,81
2026/07/12 17:50:25.355,100,11963,15360,66.10,81
2026/07/12 17:50:25.604,100,11963,15360,64.91,81
2026/07/12 17:50:25.851,100,11963,15360,69.37,81
2026/07/12 17:50:26.101,100,11963,15360,66.56,81
2026/07/12 17:50:26.348,100,11963,15360,67.54,81
2026/07/12 17:50:26.601,100,11963,15360,61.42,80
2026/07/12 17:50:26.848,100,11963,15360,63.77,80
2026/07/12 17:50:27.097,100,11963,15360,65.77,80
2026/07/12 17:50:27.350,100,11963,15360,65.69,80
2026/07/12 17:50:27.597,100,11963,15360,63.20,80
2026/07/12 17:50:27.843,100,11963,15360,62.75,80
