strategy,concurrency,repeat,request_id,group,queue_ms,processing_ms,end_to_end_ms,completed_at
fifo,1,1,standard-017,standard,14.141599999675236,108.74909999984084,122.98740000005637,2192.6891299
fifo,1,1,standard-012,standard,122.97880000005534,109.82620000004317,232.91100000005827,2192.7990758
fifo,1,1,standard-000,standard,232.9090999996879,109.86119999961375,342.8526999996393,2192.9090275
fifo,1,1,batch-013,batch,342.84859999979744,108.01609999998618,450.95790000004854,2193.0171434
fifo,1,1,standard-020,standard,450.96289999992223,108.27939999990122,559.3310999997811,2193.1255266
fifo,1,1,critical-004,critical,559.346000000005,108.33379999985482,667.855199999849,2193.2340586
fifo,1,1,critical-003,critical,667.862100000093,107.52869999987524,775.4886999996415,2193.3417007
fifo,1,1,critical-001,critical,775.4906000000119,109.09859999992477,884.6466999998484,2193.4508656
fifo,1,1,batch-005,batch,884.6483000002081,107.29479999963587,992.1051000001171,2193.558331
fifo,1,1,batch-003,batch,992.1050999996623,108.56770000009419,1100.7262999996783,2193.6669595
fifo,1,1,critical-007,critical,1100.726499999837,107.6362000003428,1208.469199999854,2193.7747105
fifo,1,1,batch-011,batch,1208.4725999998227,109.2211000000134,1317.7801000001637,2193.88403
fifo,1,1,standard-013,standard,1317.7870000004077,106.73240000005535,1424.6341000002758,2193.9908909
fifo,1,1,standard-009,standard,1424.6352000000115,107.56590000028154,1532.323599999927,2194.0985892
fifo,1,1,standard-019,standard,1532.322099999874,106.18710000017018,1638.5797999996612,2194.204856
fifo,1,1,batch-010,batch,1638.2351000002018,107.29109999965658,1745.6509999997252,2194.31229
fifo,1,1,standard-016,standard,1745.6363999999667,106.32349999968937,1852.0160999996733,2194.4186772
fifo,1,1,critical-002,critical,1852.0159999998214,104.91030000002866,1956.9860999999946,2194.5236551
fifo,1,1,standard-011,standard,1956.9867000000158,105.03449999987424,2062.085399999887,2194.6287623
fifo,1,1,batch-007,batch,2062.0857000003525,108.21960000021136,2170.357199999671,2194.7370419
fifo,1,1,batch-009,batch,2170.358899999883,106.26470000033805,2276.681599999847,2194.8433743
fifo,1,1,standard-001,standard,2276.6812999998365,106.40319999993153,2383.1457000001137,2194.9498465
fifo,1,1,standard-010,standard,2383.149200000389,107.40000000032524,2490.6173000003946,2195.0573247
fifo,1,1,standard-003,standard,2490.618600000289,110.80360000005385,2601.4909000000443,2195.168207
fifo,1,1,critical-005,critical,2601.486600000044,106.13359999979366,2707.6907000000574,2195.2744199
fifo,1,1,batch-002,batch,2707.690100000036,106.62920000004306,2814.3761999999697,2195.3811139
fifo,1,1,standard-002,standard,2814.375700000255,109.38800000030824,2923.8241999996717,2195.4905716
fifo,1,1,standard-008,standard,2923.825399999714,113.44139999982872,3037.3242000000573,2195.6040778
fifo,1,1,standard-004,standard,3037.328299999899,113.64820000017062,3156.8029000000024,2195.7235642
fifo,1,1,batch-012,batch,3156.8043000002035,108.1662999999935,3265.0346000000354,2195.8318028
fifo,1,1,batch-000,batch,3265.099299999747,108.68089999985386,3374.000899999828,2195.9407754
fifo,1,1,standard-006,standard,3374.000899999828,109.92639999994935,3483.9820000001964,2196.0507625
