strategy,concurrency,group,samples,mean_queue_ms,p50_queue_ms,p95_queue_ms,mean_processing_ms,p95_processing_ms,mean_e2e_ms,p95_e2e_ms,mean_throughput_rps
fifo,1,batch,45,2309.067,2170.359,4587.653,108.316,109.662,2417.458,4695.242,9.186
fifo,1,critical,27,2257.844,1852.016,4444.143,108.987,111.115,2366.913,4552.398,9.186
fifo,1,standard,63,2538.394,2628.655,4576.562,108.937,110.865,2647.493,4687.312,9.186
fifo,2,batch,45,1299.802,1321.999,2300.714,108.605,110.9,1408.51,2411.284,18.028
fifo,2,critical,27,1082.248,1104.332,2152.368,108.359,112.665,1190.708,2260.546,18.028
fifo,2,standard,63,1146.556,1210.387,2279.317,108.256,111.365,1255.002,2385.754,18.028
fifo,4,batch,45,624.261,666.98,1103.468,107.949,110.729,732.43,1211.384,34.674
fifo,4,critical,27,564.498,555.912,1168.384,108.225,109.228,672.892,1277.207,34.674
fifo,4,standard,63,536.113,555.958,995.074,107.888,109.655,644.172,1103.549,34.674
fifo,8,batch,45,233.012,215.341,552.549,107.692,109.984,340.986,662.011,69.278
fifo,8,critical,27,264.382,231.125,508.749,108.223,110.002,372.799,617.947,69.278
fifo,8,standard,63,270.424,322.865,540.961,107.986,109.919,378.67,650.506,69.278
priority_aging,1,batch,45,3988.352,4004.463,4687.731,107.675,109.191,4096.124,4795.935,9.283
priority_aging,1,critical,27,436.292,430.871,862.117,107.692,109.308,544.112,970.501,9.283
priority_aging,1,standard,63,2052.826,2059.577,3048.73,107.522,109.543,2160.465,3156.406,9.283
priority_aging,2,batch,45,1998.527,1977.274,2379.199,108.559,110.193,2107.204,2487.855,18.009
priority_aging,2,critical,27,207.559,231.633,447.917,108.153,109.397,316.047,556.922,18.009
priority_aging,2,standard,63,1018.133,997.105,1533.75,108.547,110.079,1126.798,1642.752,18.009
priority_aging,4,batch,45,977.689,993.039,1185.473,108.116,109.565,1085.972,1292.864,34.585
priority_aging,4,critical,27,87.445,123.013,231.368,108.049,109.276,195.752,340.961,34.585
priority_aging,4,standard,63,491.016,450.501,775.504,108.472,110.468,599.678,883.289,34.585
priority_aging,8,batch,45,465.382,449.569,559.953,108.244,110.362,573.903,667.077,69.22
priority_aging,8,critical,27,22.178,14.876,117.174,107.271,109.27,129.846,226.747,69.22
priority_aging,8,standard,63,221.454,231.195,340.572,108.234,109.7,330.012,449.49,69.22
