scenario,strategy,batch_size,repeat,request_id,request_class,replica,input_tokens,actual_output_tokens,estimated_output_tokens,max_output_tokens,queue_ms,service_ms,end_to_end_ms
empty_pool,round_robin,12,1,req-0000,faq,replica-1,216,101,,512,0.0,372.66666666666663,372.66666666666663
empty_pool,round_robin,12,1,req-0007,rag,replica-1,1050,153,,700,372.66666666666663,685.0,1057.6666666666667
empty_pool,round_robin,12,1,req-0005,faq,replica-1,169,55,,512,1057.6666666666667,211.5,1269.1666666666667
empty_pool,round_robin,12,1,req-0010,rag,replica-1,1121,220,,700,1269.1666666666667,920.1666666666666,2189.3333333333335
empty_pool,round_robin,12,1,req-0001,analysis,replica-2,3233,524,,2048,0.0,2285.5,2285.5
empty_pool,round_robin,12,1,req-0008,analysis,replica-2,4298,1168,,2048,2285.5,4609.666666666667,6895.166666666666
empty_pool,round_robin,12,1,req-0003,faq,replica-2,231,64,,512,6895.166666666666,251.83333333333334,7147.0
empty_pool,round_robin,12,1,req-0011,analysis,replica-2,2338,792,,2048,7147.0,3029.666666666667,10176.666666666668
empty_pool,round_robin,12,1,req-0002,analysis,replica-3,3339,1111,,2048,0.0,4259.833333333333,4259.833333333333
empty_pool,round_robin,12,1,req-0009,faq,replica-3,129,81,,512,4259.833333333333,291.50000000000006,4551.333333333333
empty_pool,round_robin,12,1,req-0006,faq,replica-3,123,31,,512,4551.333333333333,123.83333333333334,4675.166666666667
empty_pool,round_robin,12,1,req-0004,rag,replica-3,1602,128,,700,4675.166666666667,693.6666666666666,5368.833333333333
empty_pool,least_requests,12,1,req-0000,faq,replica-1,216,101,,512,0.0,372.66666666666663,372.66666666666663
empty_pool,least_requests,12,1,req-0007,rag,replica-1,1050,153,,700,372.66666666666663,685.0,1057.6666666666667
empty_pool,least_requests,12,1,req-0005,faq,replica-1,169,55,,512,1057.6666666666667,211.5,1269.1666666666667
empty_pool,least_requests,12,1,req-0010,rag,replica-1,1121,220,,700,1269.1666666666667,920.1666666666666,2189.3333333333335
empty_pool,least_requests,12,1,req-0001,analysis,replica-2,3233,524,,2048,0.0,2285.5,2285.5
empty_pool,least_requests,12,1,req-0008,analysis,replica-2,4298,1168,,2048,2285.5,4609.666666666667,6895.166666666666
empty_pool,least_requests,12,1,req-0003,faq,replica-2,231,64,,512,6895.166666666666,251.83333333333334,7147.0
empty_pool,least_requests,12,1,req-0011,analysis,replica-2,2338,792,,2048,7147.0,3029.666666666667,10176.666666666668
empty_pool,least_requests,12,1,req-0002,analysis,replica-3,3339,1111,,2048,0.0,4259.833333333333,4259.833333333333
empty_pool,least_requests,12,1,req-0009,faq,replica-3,129,81,,512,4259.833333333333,291.50000000000006,4551.333333333333
empty_pool,least_requests,12,1,req-0006,faq,replica-3,123,31,,512,4551.333333333333,123.83333333333334,4675.166666666667
empty_pool,least_requests,12,1,req-0004,rag,replica-3,1602,128,,700,4675.166666666667,693.6666666666666,5368.833333333333
empty_pool,token_max,12,1,req-0000,faq,replica-1,216,101,512,512,0.0,372.66666666666663,372.66666666666663
empty_pool,token_max,12,1,req-0007,rag,replica-1,1050,153,700,700,372.66666666666663,685.0,1057.6666666666667
empty_pool,token_max,12,1,req-0008,analysis,replica-1,4298,1168,2048,2048,1057.6666666666667,4609.666666666667,5667.333333333334
empty_pool,token_max,12,1,req-0004,rag,replica-1,1602,128,700,700,5667.333333333334,693.6666666666666,6361.000000000001
empty_pool,token_max,12,1,req-0001,analysis,replica-2,3233,524,2048,2048,0.0,2285.5,2285.5
empty_pool,token_max,12,1,req-0009,faq,replica-2,129,81,512,512,2285.5,291.50000000000006,2577.0
empty_pool,token_max,12,1,req-0003,faq,replica-2,231,64,512,512,2577.0,251.83333333333334,2828.8333333333335
empty_pool,token_max,12,1,req-0010,rag,replica-2,1121,220,700,700,2828.8333333333335,920.1666666666666,3748.9999999999995
empty_pool,token_max,12,1,req-0002,analysis,replica-3,3339,1111,2048,2048,0.0,4259.833333333333,4259.833333333333
empty_pool,token_max,12,1,req-0005,faq,replica-3,169,55,512,512,4259.833333333333,211.5,4471.333333333333
empty_pool,token_max,12,1,req-0006,faq,replica-3,123,31,512,512,4471.333333333333,123.83333333333334,4595.166666666667
empty_pool,token_max,12,1,req-0011,analysis,replica-3,2338,792,2048,2048,4595.166666666667,3029.666666666667,7624.833333333333
empty_pool,token_ewma,12,1,req-0000,faq,replica-1,216,101,78,512,0.0,372.66666666666663,372.66666666666663
empty_pool,token_ewma,12,1,req-0007,rag,replica-1,1050,153,254,700,372.66666666666663,685.0,1057.6666666666667
empty_pool,token_ewma,12,1,req-0008,analysis,replica-1,4298,1168,935,2048,1057.6666666666667,4609.666666666667,5667.333333333334
empty_pool,token_ewma,12,1,req-0004,rag,replica-1,1602,128,254,700,5667.333333333334,693.6666666666666,6361.000000000001
empty_pool,token_ewma,12,1,req-0001,analysis,replica-2,3233,524,935,2048,0.0,2285.5,2285.5
empty_pool,token_ewma,12,1,req-0009,faq,replica-2,129,81,78,512,2285.5,291.50000000000006,2577.0
empty_pool,token_ewma,12,1,req-0003,faq,replica-2,231,64,78,512,2577.0,251.83333333333334,2828.8333333333335
empty_pool,token_ewma,12,1,req-0010,rag,replica-2,1121,220,254,700,2828.8333333333335,920.1666666666666,3748.9999999999995
empty_pool,token_ewma,12,1,req-0002,analysis,replica-3,3339,1111,935,2048,0.0,4259.833333333333,4259.833333333333
empty_pool,token_ewma,12,1,req-0005,faq,replica-3,169,55,78,512,4259.833333333333,211.5,4471.333333333333
empty_pool,token_ewma,12,1,req-0006,faq,replica-3,123,31,78,512,4471.333333333333,123.83333333333334,4595.166666666667
empty_pool,token_ewma,12,1,req-0011,analysis,replica-3,2338,792,935,2048,4595.166666666667,3029.666666666667,7624.833333333333
empty_pool,oracle,12,1,req-0000,faq,replica-1,216,101,101,512,0.0,372.66666666666663,372.66666666666663
empty_pool,oracle,12,1,req-0007,rag,replica-1,1050,153,153,700,372.66666666666663,685.0,1057.6666666666667
empty_pool,oracle,12,1,req-0008,analysis,replica-1,4298,1168,1168,2048,1057.6666666666667,4609.666666666667,5667.333333333334
empty_pool,oracle,12,1,req-0001,analysis,replica-2,3233,524,524,2048,0.0,2285.5,2285.5
empty_pool,oracle,12,1,req-0009,faq,replica-2,129,81,81,512,2285.5,291.50000000000006,2577.0
empty_pool,oracle,12,1,req-0005,faq,replica-2,169,55,55,512,2577.0,211.5,2788.5
empty_pool,oracle,12,1,req-0003,faq,replica-2,231,64,64,512,2788.5,251.83333333333334,3040.3333333333335
empty_pool,oracle,12,1,req-0006,faq,replica-2,123,31,31,512,3040.3333333333335,123.83333333333334,3164.1666666666665
empty_pool,oracle,12,1,req-0010,rag,replica-2,1121,220,220,700,3164.1666666666665,920.1666666666666,4084.3333333333335
empty_pool,oracle,12,1,req-0011,analysis,replica-2,2338,792,792,2048,4084.3333333333335,3029.666666666667,7114.000000000001
