scenario,strategy,batch_size,repeats,mean_e2e_ms,p95_e2e_ms,p95_queue_ms,makespan_ms,throughput_rps,token_throughput_tps,load_cv,load_max_min_ratio,output_estimation_mape,output_estimation_wape
empty_pool,least_requests,12,5,2896.8528,6356.12,5212.22,7076.7667,1.8564,2513.6078,0.4307,3.5,,
empty_pool,least_requests,36,5,6137.3398,11976.3833,10900.1,12950.2667,2.8928,3288.3976,0.1654,1.4846,,
empty_pool,least_requests,72,5,12315.8843,25753.7233,24421.4067,28088.4333,2.5975,3199.5536,0.1609,1.455,,
empty_pool,least_requests,144,5,24390.61,47887.3067,47179.8883,55752.7667,2.6001,3360.0274,0.1027,1.2867,,
empty_pool,oracle,12,5,2433.2,4772.265,2965.8567,5458.5,2.2712,3145.8374,0.1707,1.495,0.0,0.0
empty_pool,oracle,36,5,5842.363,10532.0167,9719.0833,11884.8,3.2297,3619.5015,0.0537,1.1284,0.0,0.0
empty_pool,oracle,72,5,11875.8889,23084.9683,22008.875,24843.6,2.9189,3603.9278,0.0232,1.0532,0.0,0.0
empty_pool,oracle,144,5,23973.0435,46802.0767,44980.5317,50298.0,2.8702,3714.8465,0.012,1.0282,0.0,0.0
empty_pool,round_robin,12,5,2896.8528,6356.12,5212.22,7076.7667,1.8564,2513.6078,0.4307,3.5,,
empty_pool,round_robin,36,5,6137.3398,11976.3833,10900.1,12950.2667,2.8928,3288.3976,0.1654,1.4846,,
empty_pool,round_robin,72,5,12315.8843,25753.7233,24421.4067,28088.4333,2.5975,3199.5536,0.1609,1.455,,
empty_pool,round_robin,144,5,24390.61,47887.3067,47179.8883,55752.7667,2.6001,3360.0274,0.1027,1.2867,,
empty_pool,token_ewma,12,5,2510.2639,5030.9867,3199.5417,5884.3667,2.1005,2918.5347,0.2616,1.9163,1.1406,0.3074
empty_pool,token_ewma,36,5,5861.7389,11100.4917,10139.1583,12044.5,3.1651,3563.6695,0.0845,1.2418,0.4935,0.3141
empty_pool,token_ewma,72,5,11884.2185,23358.1,22170.63,26054.9333,2.7779,3433.1094,0.0719,1.1909,0.5568,0.305
empty_pool,token_ewma,144,5,23986.2623,47325.33,45878.7483,52422.7333,2.7526,3563.5315,0.0505,1.1284,0.7164,0.2932
empty_pool,token_max,12,5,2535.6194,5150.56,3392.6967,6007.1667,2.0375,2839.8601,0.2885,2.0763,6.5146,2.1844
empty_pool,token_max,36,5,5941.3278,10866.6583,10102.0667,12741.1667,3.0639,3414.4309,0.1162,1.3448,4.5486,2.4126
empty_pool,token_max,72,5,12121.5028,23585.12,22648.7833,26063.3,2.7757,3432.5294,0.0622,1.1542,5.0818,2.2002
empty_pool,token_max,144,5,24055.5259,46971.0733,45317.0217,54592.4667,2.6452,3423.9512,0.0773,1.1991,5.221,2.234
residual_load,least_requests,12,5,34007.9639,52462.0867,51871.835,52877.6667,0.2271,323.6801,0.3889,2.8434,,
residual_load,least_requests,36,5,37248.4509,58827.1333,58044.675,60150.0,0.5997,705.7553,0.3539,2.5632,,
residual_load,least_requests,72,5,43426.9954,68375.5183,67707.18,72316.4333,0.9981,1237.6473,0.2644,2.0029,,
residual_load,least_requests,144,5,55501.7211,93823.5583,92782.5483,102825.7333,1.4027,1816.9271,0.2063,1.6342,,
residual_load,oracle,12,5,20754.5806,25810.4967,24409.8117,26640.3,0.4539,635.7802,0.001,1.0021,0.0,0.0
residual_load,oracle,36,5,28358.0213,37320.425,36564.825,38919.1,0.9354,1083.7584,0.0185,1.0384,0.0,0.0
residual_load,oracle,72,5,38152.9838,54097.465,53031.6567,56020.3333,1.2871,1592.9861,0.0118,1.0281,0.0,0.0
residual_load,oracle,144,5,52843.2704,78001.7383,76097.2583,81512.6,1.7681,2289.8609,0.008,1.0191,0.0,0.0
residual_load,round_robin,12,5,34007.9639,52462.0867,51871.835,52877.6667,0.2271,323.6801,0.3889,2.8434,,
residual_load,round_robin,36,5,37248.4509,58827.1333,58044.675,60150.0,0.5997,705.7553,0.3539,2.5632,,
residual_load,round_robin,72,5,43426.9954,68375.5183,67707.18,72316.4333,0.9981,1237.6473,0.2644,2.0029,,
residual_load,round_robin,144,5,55501.7211,93823.5583,92782.5483,102825.7333,1.4027,1816.9271,0.2063,1.6342,,
residual_load,token_ewma,12,5,20754.5806,25810.4967,24409.8117,26640.3,0.4539,635.7802,0.001,1.0021,1.1406,0.3074
residual_load,token_ewma,36,5,28402.8278,37470.8333,36601.3583,39597.1667,0.9176,1065.2273,0.0372,1.0778,0.4935,0.3141
residual_load,token_ewma,72,5,38257.3676,54563.0317,53649.24,56395.8,1.2779,1581.7518,0.0186,1.0462,0.5568,0.305
residual_load,token_ewma,144,5,52927.0678,77509.5117,76757.8067,84216.3333,1.7105,2216.0491,0.0362,1.0899,0.7164,0.2932
residual_load,token_max,12,5,22742.9,33222.42,31994.9367,34441.7333,0.3496,492.6196,0.214,1.5487,6.5146,2.1844
residual_load,token_max,36,5,31108.3843,53012.725,51213.1417,54515.2,0.6616,778.6971,0.2302,1.7666,4.5486,2.4126
residual_load,token_max,72,5,40200.1833,63643.3067,62821.5917,67949.9667,1.0617,1313.6759,0.1967,1.6337,5.0818,2.2002
residual_load,token_max,144,5,53985.0044,83871.7567,83318.8783,93025.1333,1.5503,2008.8583,0.1212,1.3337,5.221,2.234
