splitter,chunk_size,chunk_overlap,unit,semantic_threshold,chunks,avg_chars,avg_words,recall@1,recall@3,recall@5,recall@10,mrr@10
token,120,0,tokens,,1152,632.9435763888889,111.93836805555556,0.35954063604240283,0.5097173144876325,0.5706713780918727,0.6475265017667845,0.4500788743059061
recursive,500,0,characters,,1823,399.60504662643996,70.73669775095996,0.34452296819787986,0.49823321554770317,0.5600706713780919,0.6431095406360424,0.43734645801783606
character,800,0,characters,,991,736.4984863773966,130.68718466195762,0.32685512367491165,0.4991166077738516,0.5627208480565371,0.6413427561837456,0.4279846037354871
token,160,0,tokens,,872,836.5034403669724,147.88188073394497,0.34363957597173145,0.48674911660777387,0.5503533568904594,0.6413427561837456,0.4342927954456223
character,500,0,characters,,1543,472.8969539857421,84.16915100453662,0.35335689045936397,0.5017667844522968,0.5662544169611308,0.6360424028268551,0.4433146138313983
recursive,800,0,characters,,1145,636.8192139737992,112.62270742358079,0.3471731448763251,0.48851590106007065,0.5600706713780919,0.6360424028268551,0.43543384373773064
character,800,100,characters,,1096,752.2928832116788,133.48266423357666,0.3489399293286219,0.5,0.5627208480565371,0.6351590106007067,0.43931726400807675
recursive,400,0,characters,,2326,312.9737747205503,55.43981083404987,0.3489399293286219,0.5044169611307421,0.5609540636042403,0.6351590106007067,0.44046777721689384
recursive,500,100,characters,,2264,410.5931978798587,72.73409893992932,0.3568904593639576,0.4796819787985866,0.553886925795053,0.6325088339222615,0.4392674855572382
token,160,30,tokens,,1033,851.108422071636,150.50629235237173,0.3303886925795053,0.48674911660777387,0.5503533568904594,0.6307420494699647,0.4244552414605418
recursive,500,200,characters,,2435,414.29979466119096,73.39014373716633,0.3568904593639576,0.4787985865724382,0.5636042402826855,0.6289752650176679,0.4388829294968871
token,80,0,tokens,,1677,434.4818127608825,76.89505068574836,0.338339222614841,0.5008833922261484,0.5609540636042403,0.6289752650176679,0.4326890178921981
recursive,800,100,characters,,1307,649.513389441469,114.75899005355777,0.35247349823321555,0.47791519434628976,0.5574204946996466,0.6289752650176679,0.43684376577486117
character,400,0,characters,,1903,383.3678402522333,68.36678928008408,0.3392226148409894,0.48144876325088337,0.5388692579505301,0.627208480565371,0.4260576168040832
recursive,800,200,characters,,1350,654.8296296296296,115.70148148148148,0.35954063604240283,0.48498233215547704,0.5521201413427562,0.6245583038869258,0.44140199955129283
token,120,30,tokens,,1453,653.8231245698555,115.67309015829319,0.35247349823321555,0.4832155477031802,0.5477031802120141,0.6245583038869258,0.43447543328285376
semantic_lite,800,200,characters,0.05,1719,569.0913321698662,100.80511925538103,0.34363957597173145,0.4752650176678445,0.5309187279151943,0.6245583038869258,0.42816373604801167
character,500,200,characters,,2411,490.1526337619245,87.28121111571961,0.35159010600706714,0.49381625441696114,0.5468197879858657,0.6219081272084805,0.43606413708003816
character,400,100,characters,,2460,390.42357723577237,69.63414634146342,0.35335689045936397,0.5,0.5459363957597173,0.6219081272084805,0.43872658309495766
semantic_lite,800,200,characters,0.12,1850,546.347027027027,96.78702702702702,0.3480565371024735,0.4823321554770318,0.5388692579505301,0.6210247349823321,0.43059586908968533
character,800,200,characters,,1248,760.8902243589744,135.04326923076923,0.3418727915194346,0.4911660777385159,0.5547703180212014,0.6201413427561837,0.4305814964383869
semantic_lite,800,100,characters,0.05,1606,559.719800747198,99.10647571606475,0.3462897526501767,0.48144876325088337,0.5424028268551236,0.6201413427561837,0.4313688372875652
semantic_lite,500,100,characters,0.12,2752,355.8546511627907,63.15079941860465,0.34363957597173145,0.4823321554770318,0.5397526501766784,0.6192579505300353,0.4280669835661002
semantic_lite,800,100,characters,0.12,1718,540.8218859138533,95.79045401629801,0.338339222614841,0.48586572438162545,0.5397526501766784,0.6192579505300353,0.42496143922822366
token,80,30,tokens,,2565,443.4826510721248,78.53138401559454,0.35247349823321555,0.4876325088339223,0.5379858657243817,0.6183745583038869,0.43271565987997085
character,500,100,characters,,1859,484.4249596557289,86.22915545992468,0.3418727915194346,0.4664310954063604,0.5415194346289752,0.6174911660777385,0.42515564529698807
recursive,400,100,characters,,2949,326.9345540861309,57.921668362156666,0.34363957597173145,0.48056537102473496,0.5485865724381626,0.6148409893992933,0.4279751388187784
semantic_lite,500,100,characters,0.05,2591,366.89116171362406,65.11810111925897,0.3462897526501767,0.4743816254416961,0.5441696113074205,0.6130742049469965,0.42724598967973526
token,160,60,tokens,,1272,872.0267295597484,154.3498427672956,0.3392226148409894,0.47614840989399293,0.5379858657243817,0.6086572438162544,0.42098897863032136
token,120,60,tokens,,2076,665.5611753371869,117.80973025048169,0.3542402826855124,0.46819787985865724,0.5353356890459364,0.607773851590106,0.42641482977172024
character,400,200,characters,,3581,395.24071488411056,70.53504607651494,0.34275618374558303,0.47703180212014135,0.5291519434628975,0.6051236749116607,0.4224781255258287
recursive,400,200,characters,,3258,332.6279926335175,58.95948434622468,0.3568904593639576,0.48586572438162545,0.549469964664311,0.6042402826855123,0.43465982388243873
semantic_lite,500,200,characters,0.05,2862,372.73549965059397,66.24493361285815,0.3568904593639576,0.4752650176678445,0.5282685512367491,0.6042402826855123,0.4317323601996747
semantic_lite,500,200,characters,0.12,3054,360.7134905042567,64.12802881466929,0.35335689045936397,0.4708480565371025,0.523851590106007,0.598939929328622,0.42678711649559703
token,80,60,tokens,,6072,450.0914031620553,79.76498682476944,0.35247349823321555,0.4134275618374558,0.48586572438162545,0.5653710247349824,0.40544653373716977
